Country Name,Current health expenditure per capita (current US$),"Death rate, crude (per 1,000 people)",GDP per capita (constant 2015 US$),"Life expectancy at birth, total (years)","Literacy rate, adult total (% of people ages 15 and above)",Net migration,Poverty headcount ratio at national poverty line (% of population),"Unemployment, total (% of total labor force)",Population,Density (P/Km²),Confirmed,Deaths,Recovered,Active
Afghanistan,74.23410797,6.791,559.140953983718,63.565,,-8082,,11.224,38928346.0,60.0,8370341.0,292432.0,5904418.0,2165900.0
Albania,367.75839233,8.48,4543.38771048312,79.282,,-8889,21.8,11.466,2877797.0,105.0,3693101.0,87375.0,1980336.0,1625390.0
Algeria,235.99041748,4.392,4737.12977369971,76.474,,-36386,,12.285,43851044.0,18.0,10439282.0,372954.0,7041511.0,3024717.0
Samoa,,,13288.3565565116,,,-1650,,,55191.0,276.0,50.0,0.0,50.0,0.0
Samoa,,,13288.3565565116,,,-1650,,,198414.0,70.0,50.0,0.0,50.0,0.0
Andorra,3026.59741211,3.9,39413.790877787,,,1238,,,77265.0,164.0,678294.0,15333.0,550059.0,112902.0
Angola,64.65779114,7.811,2666.25391548367,62.448,,58986,,16.497,32866272.0,26.0,1332420.0,36396.0,644965.0,651059.0
Antigua and Barbuda,801.54382324,5.865,18357.6788222183,78.691,,0,,,97929.0,223.0,22612.0,855.0,19144.0,2613.0
Argentina,1016.23083496,7.6,12716.2242038544,77.284,,4478,35.5,9.843,45195774.0,17.0,146627490.0,3766404.0,120070099.0,22790987.0
Armenia,549,9.662,4561.96779894751,75.439,,-25363,26.4,12.2,2963243.0,104.0,14413634.0,245797.0,11008808.0,3159029.0
Aruba,,8.778,30317.6073875484,76.248,,412,,,106766.0,593.0,0.0,0.0,0.0,0.0
Australia,5545.91064453,6.7,59000.7354442453,82.9,,235860,,5.159,25499884.0,3.0,5010277.0,130568.0,4195130.0,684532.0
Austria,5263,9.4,46616.3591743242,81.8951219512195,,41105,13.9,4.56,9006398.0,109.0,22043509.0,354165.0,17605096.0,4084248.0
Azerbaijan,197,5.6,5348.45318851823,73.102,99.7959823608398,392,,5,10139177.0,123.0,12834133.0,160233.0,9592303.0,3081597.0
Bahamas,1898.85632324,7.943,29736.7942241419,71.205,,1001,,10.011,393244.0,39.0,763994.0,17330.0,501639.0,243498.0
Bahrain,1024.39050293,2,23384.7592873445,80.019,,-17127,,1.226,1701575.0,2239.0,12746635.0,46622.0,11794367.0,905646.0
Bangladesh,47.66782379,5.28,1558.50779749774,72.806,74.6844635009766,-344054,,4.693,164689383.0,1265.0,67797045.0,954496.0,49011457.0,17831092.0
Barbados,1172.40539551,8.91,17369.5099699378,77.257,,-65,,8.413,287375.0,668.0,44682.0,1816.0,37809.0,5057.0
Belarus,390,12.8,6267.76513932041,74.2268292682927,99.8740005493164,15082,5,4.165,9449323.0,47.0,20205227.0,170349.0,16917033.0,3117845.0
Belgium,5049.57714844,9.5,43098.4750626966,81.9951219512195,,54395,14.1,5.36,11589623.0,383.0,53510585.0,2901163.0,3741443.0,46873275.0
Belize,298.96051025,4.727,5833.17356188628,73.931,,1164,,9.053,397628.0,17.0,570485.0,11384.0,336845.0,212479.0
Benin,29.37922096,9.248,1153.72620994687,60.454,,3363,38.5,1.402,12123200.0,108.0,455384.0,7432.0,367409.0,80543.0
Bermuda,,8.4,107036.239271085,81.033,,290,,,62278.0,1246.0,0.0,0.0,0.0,0.0
Bhutan,115.32080841,6.626,3448.4941900809,71.391,,291,,2.72,771608.0,20.0,52692.0,0.0,43518.0,9174.0
Bolivia,239.17544556,7.127,3242.94884532224,67.841,,-8978,37.2,3.682,11673021.0,11.0,22249682.0,1214850.0,14790093.0,6244739.0
Bosnia and Herzegovina,544,12.266,5558.08143990697,77.241,,-27848,,15.692,3280819.0,64.0,7978911.0,248683.0,4987647.0,2742581.0
Botswana,408.89602661,6.974,6485.56819794359,65.464,,2933,,20.094,2351627.0,4.0,926684.0,3157.0,582761.0,340760.0
